dataset_id,horizon_step,reference_step,feature,comparison_bars,mae,rmse,iqr_normalized_mae,correlation,final_abs_error
spy_1h,1,1,pressure,371,0.0,0.0,0.0,1.0,0.0
spy_1h,1,1,velocity,371,0.0,0.0,0.0,1.0,0.0
spy_1h,1,1,acceleration,371,0.0,0.0,0.0,1.0,0.0
spy_1h,1,1,jerk,371,0.0,0.0,0.0,1.0,0.0
spy_1h,1,1,snap,371,0.0,0.0,0.0,1.0,0.0
spy_1h,1,1,structure,371,0.0,0.0,0.0,1.0,0.0
spy_1h,1,1,kinematics,371,0.0,0.0,0.0,0.9999999999999998,0.0
spy_1h,1,1,geometry,371,0.0,0.0,0.0,0.9999999999999999,0.0
spy_1h,1,1,information,371,0.0,0.0,0.0,0.9999999999999998,0.0
spy_1h,1,1,propagation,371,0.0,0.0,0.0,1.0,0.0
spy_1h,1,1,cascade_bias,371,0.0,0.0,0.0,1.0,0.0
spy_1h,1,1,scaling_exponent,371,0.0,0.0,0.0,1.0,0.0
spy_1h,2,1,pressure,371,0.0012374663072776276,0.0015286218093820971,0.009231378644368725,0.9999687226450811,0.0002999999999999999
spy_1h,2,1,velocity,371,0.012018598382749325,0.015856649782285643,0.019461741369523642,0.9993655621492248,0.023400000000000004
spy_1h,2,1,acceleration,371,0.03360242587601078,0.04676921171476472,0.08267296315908668,0.9902998929699269,0.0329
spy_1h,2,1,jerk,371,0.05493773584905661,0.07585404395170697,0.12665760426295472,0.9710810022046863,0.019299999999999984
spy_1h,2,1,snap,371,0.073255525606469,0.10028985619724802,0.16986788546427595,0.9479206818689093,0.004599999999999993
spy_1h,2,1,structure,371,0.0029948787061994608,0.0036357501626601094,0.035526437795960396,0.9995027843181677,0.0025000000000000022
spy_1h,2,1,kinematics,371,0.01312210242587601,0.016754025947357965,0.15302743353791268,0.9665679296748622,0.00770000000000004
spy_1h,2,1,geometry,371,0.007717789757412399,0.010055169916441866,0.18597083752800947,0.9509843268273066,0.007899999999999963
spy_1h,2,1,information,371,0.00920646900269542,0.011798492297118953,0.10539746997934084,0.9946233865573889,0.005400000000000016
spy_1h,2,1,propagation,371,0.01856388140161725,0.02392120263092918,0.1668663496774585,0.9688397460905263,0.0018000000000000238
spy_1h,2,1,cascade_bias,371,0.02743989218328841,0.035276437773599095,0.13346251061910705,0.9782802360240324,0.030899999999999983
spy_1h,2,1,scaling_exponent,371,0.05728059299191375,0.06824923466490312,0.3475764137858843,0.9825807544697817,0.04569999999999996
spy_1h,4,1,pressure,371,0.0021991913746630728,0.0027407329769012253,0.01640575438017958,0.9998561592272877,0.0011000000000000003
spy_1h,4,1,velocity,371,0.034485714285714286,0.04781788847514102,0.05584278890084088,0.9940237286051465,0.060600000000000015
spy_1h,4,1,acceleration,371,0.07011374663072777,0.09452191719484258,0.17250275957861425,0.9591212090453031,0.14700000000000002
spy_1h,4,1,jerk,371,0.08754393530997305,0.11725159393510798,0.20183039840915976,0.9327186280743776,0.0917
